Placa;Categoria;Descrição do bem;Valor;Fornecedor;Série;NF;Data da compra;Departamento;Descrição do local;Responsável;Estado do bem;Última revisão do bem;Próxima revisão;Idade;Vida útil;Trocar / Reformar em:; Valor atual ;
x0011;Móveis e Utensílios;Cadeira c/ braço baixa girat.; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0012;Móveis e Utensílios;Cadeira c/braço baixa girat.; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0013;Móveis e Utensílios;Cadeira c/braço baixa girat.; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0014;Móveis e Utensílios;Cadeira c/braço alta girat.; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0015;Móveis e Utensílios;Cadeira c/braço baixa girat.; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0016;Móveis e Utensílios;Cadeira c/braço alta girat.; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0017;Móveis e Utensílios;Cadeira c/braço fixa ; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0018;Móveis e Utensílios;Cadeira s/braço fixa; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0019;Móveis e Utensílios;Cadeira s/braço fixa; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0020;Móveis e Utensílios;Cadeira s/braço fixa; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0021;Móveis e Utensílios;Cadeira s/braço fixa; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
;;;;;;;;;;;;;;;;;;
x0022;Móveis e Utensílios;Cadeira s/braço fixa; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
X0023;Trator de Aeronave;Reboque de Aeronave; R$ 26.000.00 ;Tug Max Indust.;1;69;23/07/2025;Sede do Aeroclube;Hangar nº 0001;;Bom;01/07/2025;02/07/2026;0,6;10,0;9,41 ;;
x0024;Móveis e Utensílios;Cadeira Escolar; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0025;Móveis e Utensílios;Cadeira Escolar; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0026;Móveis e Utensílios;Cadeira Escolar; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0027;Móveis e Utensílios;Cadeira Escolar; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0028;Móveis e Utensílios;Cadeira Escolar; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0029;Móveis e Utensílios;Cadeira Escolar; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0030;Máquinas e Equipamentos;Condicionador de Ar Consul; R$ 1.000,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;01/07/2025;02/07/2026;#VALOR!;10,0;;;
x0031;Máquinas e Equipamentos;Condicionador de Ar Sprint; R$ 1.000,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;01/07/2025;02/07/2026;#VALOR!;10,0;;;
X0032;Máquinas e Equipamentos;Condicionador de Ar Philco; R$ 1.000,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;01/07/2025;02/07/2026;#VALOR!;10,0;;;
x0033;Móveis e Utensílios;Condicionador de Ar Philco; R$ 1.000,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0034;Máquinas e Equipamentos;Microondas LG; R$ 500,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;01/07/2025;02/07/2026;#VALOR!;10,0;;;
x0035;Móveis e Utensílios;Cadeira s/braço baixa; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Portaria;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0036;Móveis e Utensílios;Cadeira c/braço baixa; R$ 200,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Portaria;;Médio;01/07/2025;03/07/2026;#VALOR!;10,0;;;
x0037;Computadores e Periféricos;Computador AOC - AHD EXT; R$ 1.500,00 ;AOC;;S/NF;;Sub Sede - Cabedelo;Sala de Reunião;;Médio;01/07/2025;02/07/2026;;5,0;;;
x0038;Máquinas e Equipamentos;Motoserra Honda - 4T; R$ 1.000,00 ;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;01/07/2025;02/07/2026;#VALOR!;10,0;;;
x0039;Máquinas e Equipamentos;Motoserra Stihl - 2T;;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;01/07/2025;02/07/2026;#VALOR!;10,0;;;
